,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
90,swarnimachaudh3,"adv.Delhi High Court,State Secretary Of Delhi(NCP),JUSTICE FOUNDATION- vice president","New Delhi, India",399,193,4088,5,"Location - Near Rahat  Hotel, Andheri Ghatkopar Link Road,Sakinaka,Andheri (E) Mumbai - 400072.Dear @mybmcWardL Kindly Attend The Complaint As Soon As Possible, Many Manholes Are Overflowing. @ArshadAmir14 @bbatteli @CMOMaharashtra @mybmcRoads @mybmc @HanifNcp @rautsanjay61 https://t.co/9wtjiFAkLX",[]
91,RNJ53,"I wil not Bear Injustice. I Dont care for anyone and anything until I m right. Dont care for Result, Just do duty.",,275,9,7612,0,"@BangaloreTimes1 Complete #Police dept in #India s too much corrupted in last 5 years.
#BJP ur failed to bring control #Corruption,instead its increased.

If any public complaint with audio, video proof then filing case on informer.
Need changes in #India.

#Congress #Bribe #scam #MONEY #NEWS","['Police', 'India', 'BJP', 'Corruption', 'India', 'Congress', 'Bribe', 'scam', 'MONEY', 'NEWS']"
92,OGFace246,"🥷🏽Radical.
⚖️
A Barbadosian.",,133,77,2364,0,"I want to do a review. Like I wanna know how satisfied my clients are. And if I've continued to keep up to my standards.

Sometimes I feel like I'm slacking but I've never got a complaint or anything of the sort.",[]
93,RNJ53,"I wil not Bear Injustice. I Dont care for anyone and anything until I m right. Dont care for Result, Just do duty.",,275,9,7612,0,"@BangaloreTimes1 Complete #Police dept in #India s too much corrupted in last 5 years.
#BJP ur failed to bring control #Corruption,instead its increased.

If any public complaint with audio, video proof then filing case on informer.
Need changes in #India.

#Congress #Bribe #scam #MONEY #NEWS","['Police', 'India', 'BJP', 'Corruption', 'India', 'Congress', 'Bribe', 'scam', 'MONEY', 'NEWS']"
94,RyClyGuy,"I like video games, other nerd stuff, and trying to be nice | they/them/he/him | sometimes talk about music I’m also a lab technician",,296,153,16466,0,"1. Captain Marvels short haircut is objectively sexier especially in the live action version

2. The whole complaint with the she-hulk show seems to be that they DID just keep her “feminine.” This doesn’t even relate to the discourse in the thread at all https://t.co/ZTD1yRVNOh",[]
95,HMWSSBOnline,"This is the official Twitter account of Hyderabad Metropolitan Water Supply and Sewerage Board.

Customer care: 155313 ; 040-23300114.","Hyderabad, India",118,42123,42130,0,"@sai_koushika Good Evening Sir, Please provide us your contact number details, to register a complaint and receive updates.",[]
96,gtfinchy,"Christian, geek, son, brother, husband, father","Charleston, SC",1533,409,36951,17,"BRCC likely has a huge problem on its hands.

This is an absolute banger of a shareholder complaint.

https://t.co/7tCuLGY6u5",[]
97,hunk350,I'm not perfect... I'm original...,"Kanpur, India",91,15,429,0,@MVVNLHQ @UPPCLLKO @EMofficeUP @mvvnlhardoi @mduppcl @UppclChairman @UPPCLLKO Complaint closed again but issue is still same kindly look on it please don't do formalities.. https://t.co/n7ivjwrdbZ,[]
98,Geordie2302,Dad | Husband | Family | Football | #nufc #toon | @nufctrust,England,3272,3157,10133,32,"Development in Everton FFP complaint. Leeds Utd + Burnley have asked Premier League to order Everton not to delete any data or communication around commercial, sponsorship or transfer business as they step up their drive to get EFC's financial accounts independently investigated.",[]
99,RNJ53,"I wil not Bear Injustice. I Dont care for anyone and anything until I m right. Dont care for Result, Just do duty.",,275,9,7612,0,"@ashadeepayojane @Lo3bng @ukat4cast @ksuwssb @DrRavikumarSB1 @Manjuganga5 @LabourDeptGOK @ShivanandaC6 @GuruprasadHl2 Complete #Police dept in #India s too much corrupted in last 5 years.
#BJP ur failed to bring control #Corruption,instead its increased.

If any public complaint with audio, video proof then filing case on informer.
Need changes in #India.

#Congress #Bribe #scam #MONEY #NEWS","['Police', 'India', 'BJP', 'Corruption', 'India', 'Congress', 'Bribe', 'scam', 'MONEY', 'NEWS']"
